Branch
% PTDF From ,% PTDF To ,From Number,To Number
-0.00,0.00,10012,10019
-0.01,0.01,10012,10023
-0.00,0.00,10012,10023
-0.00,0.00,10012,10731
-0.00,0.00,10012,10938
0.02,-0.02,10012,10987
0.00,-0.00,10012,10987
-0.01,0.01,10730,10019
0.02,-0.02,10730,10023
-0.00,0.00,10023,10731
-0.03,0.03,10987,10023
0.00,-0.00,10023,10987
0.11,-0.11,10057,10059
-0.04,0.04,10057,10757
-0.00,0.00,10057,10836
-0.01,0.01,10057,10843
-0.02,0.02,10057,10862
-0.02,0.02,10057,10928
0.37,-0.37,10059,10462
0.26,-0.26,10857,10059
0.00,-0.00,10078,10330
0.01,-0.01,10078,10459
-0.00,0.00,10078,10731
0.01,-0.01,10078,10838
0.10,-0.10,10275,10117
0.00,-0.00,10117,10758
-0.00,0.00,10117,10785
0.00,-0.00,10117,10798
-0.04,0.04,10799,10117
-0.08,0.07,10893,10117
0.00,-0.00,10117,10917
0.00,-0.00,10117,11037
0.00,-0.00,10127,10330
0.01,-0.01,10127,10459
-0.01,0.01,10127,10730
-0.00,0.00,10127,10731
-0.00,0.00,10127,10836
-0.03,0.03,10838,10127
1.50,-1.50,10192,10813
0.06,-0.06,10192,10934
0.01,-0.01,10192,10953
-3.53,3.61,10192,11001
0.72,-0.72,10192,13180
0.01,-0.01,10192,13264
-1.23,1.24,13302,10192
0.01,-0.01,10192,13324
0.02,-0.02,10192,13667
0.00,-0.00,10196,10198
0.00,-0.00,10196,10462
0.28,-0.28,10196,10735
-0.01,0.01,10196,10836
-0.17,0.17,10838,10196
-0.01,0.01,10196,10843
-0.40,0.41,10196,10857
-0.25,0.25,10275,10330
-0.01,0.01,10275,10330
-0.00,0.00,10275,10346
-0.09,0.09,10369,10275
-0.03,0.03,10427,10275
-0.00,0.00,10275,10459
-0.00,0.00,10275,10462
-0.00,0.00,10275,10468
0.00,-0.00,10275,10729
-0.00,0.00,10275,10731
0.09,-0.09,10275,10758
0.00,-0.00,10275,10758
0.00,-0.00,10275,11037
-0.00,0.00,10330,10332
0.20,-0.20,10353,10330
0.00,-0.00,10330,10369
0.00,-0.00,10330,10427
-0.00,0.00,10330,10432
0.03,-0.03,10330,10459
-0.02,0.02,10330,10462
0.02,-0.02,10468,10330
0.00,-0.00,10330,10729
-0.01,0.01,10330,10836
0.04,-0.04,10333,10427
0.02,-0.02,10459,10333
-0.00,0.00,10333,10462
0.00,-0.00,10333,10729
0.01,-0.01,10346,10353
0.01,-0.01,10346,10459
0.29,-0.29,10414,10353
0.10,-0.10,10353,10468
-0.00,0.00,10369,10427
-0.00,0.00,10369,10459
-0.04,0.04,10728,10369
-0.00,0.00,10369,10729
